Front,Back
expensive,caro / cara [sound:caro-cara.mp3]
cheap,barato / barata [sound:barato-barata.mp3]
good,bueno / buena [sound:bueno-buena.mp3]
bad,malo / mala [sound:malo-mala.mp3]
big,grande [sound:grande.mp3]
small,pequeño / pequeña [sound:pequeno-pequena.mp3]
hot,caliente [sound:caliente.mp3]
cold,frío / fría [sound:frio-fria.mp3]
open,abierto / abierta [sound:abierto-abierta.mp3]
closed,cerrado / cerrada [sound:cerrado-cerrada.mp3]
red,rojo / roja [sound:rojo-roja.mp3]
blue,azul [sound:azul.mp3]
yellow,amarillo / amarilla [sound:amarillo-amarilla.mp3]
green,verde [sound:verde.mp3]
black,negro / negra [sound:negro-negra.mp3]
white,blanco / blanca [sound:blanco-blanca.mp3]
orange,naranja [sound:naranja.mp3]
purple,morado / morada [sound:morado-morada.mp3]
pink,rosa [sound:rosa.mp3]
brown,marrón [sound:marron.mp3]
gray,gris [sound:gris.mp3]
