Front,Back
<img src="color-red-card.jpg">,rojo / roja [sound:rojo-roja.mp3]
<img src="color-blue-card.jpg">,azul [sound:azul.mp3]
<img src="color-yellow-card.jpg">,amarillo / amarilla [sound:amarillo-amarilla.mp3]
<img src="color-green-card.jpg">,verde [sound:verde.mp3]
<img src="color-black-card.jpg">,negro / negra [sound:negro-negra.mp3]
<img src="color-white-card.jpg">,blanco / blanca [sound:blanco-blanca.mp3]
<img src="color-orange-card.jpg">,naranja [sound:naranja.mp3]
<img src="color-purple-card.jpg">,morado / morada [sound:morado-morada.mp3]
<img src="color-pink-card.jpg">,rosa [sound:rosa.mp3]
<img src="color-brown-card.jpg">,marrón [sound:marron.mp3]
<img src="color-gray-card.jpg">,gris [sound:gris.mp3]
