Front,Back,Concept,ImageFilename,Prompt
red,rojo / roja,red,color-red-card.jpg,"A plain square swatch of the color red (#e53935) for a language-learning flashcard. No words, letters, logos, labels, or watermark."
blue,azul,blue,color-blue-card.jpg,"A plain square swatch of the color blue (#1e88e5) for a language-learning flashcard. No words, letters, logos, labels, or watermark."
yellow,amarillo / amarilla,yellow,color-yellow-card.jpg,"A plain square swatch of the color yellow (#fdd835) for a language-learning flashcard. No words, letters, logos, labels, or watermark."
green,verde,green,color-green-card.jpg,"A plain square swatch of the color green (#43a047) for a language-learning flashcard. No words, letters, logos, labels, or watermark."
black,negro / negra,black,color-black-card.jpg,"A plain square swatch of the color black (#212121) for a language-learning flashcard. No words, letters, logos, labels, or watermark."
white,blanco / blanca,white,color-white-card.jpg,"A plain square swatch of the color white (#ffffff) for a language-learning flashcard. No words, letters, logos, labels, or watermark."
orange,naranja,orange,color-orange-card.jpg,"A plain square swatch of the color orange (#fb8c00) for a language-learning flashcard. No words, letters, logos, labels, or watermark."
purple,morado / morada,purple,color-purple-card.jpg,"A plain square swatch of the color purple (#8e24aa) for a language-learning flashcard. No words, letters, logos, labels, or watermark."
pink,rosa,pink,color-pink-card.jpg,"A plain square swatch of the color pink (#ec407a) for a language-learning flashcard. No words, letters, logos, labels, or watermark."
brown,marrón,brown,color-brown-card.jpg,"A plain square swatch of the color brown (#795548) for a language-learning flashcard. No words, letters, logos, labels, or watermark."
gray,gris,gray,color-gray-card.jpg,"A plain square swatch of the color gray (#757575) for a language-learning flashcard. No words, letters, logos, labels, or watermark."
