Front,Back
the water,el agua [sound:el-agua.mp3]
the coffee,el café [sound:el-cafe.mp3]
the beer,la cerveza [sound:la-cerveza.mp3]
the table,la mesa [sound:la-mesa.mp3]
the bathroom,el baño [sound:el-bano.mp3]
the train,el tren [sound:el-tren.mp3]
the ticket,el billete [sound:el-billete.mp3]
the street,la calle [sound:la-calle.mp3]
the playground,el parque infantil [sound:el-parque-infantil.mp3]
the store,la tienda [sound:la-tienda.mp3]
the account / bill,la cuenta [sound:la-cuenta.mp3]
the pain,el dolor [sound:el-dolor.mp3]
the body,el cuerpo [sound:el-cuerpo.mp3]
the head,la cabeza [sound:la-cabeza.mp3]
the hair,el pelo [sound:el-pelo.mp3]
the face,la cara [sound:la-cara.mp3]
the eye,el ojo [sound:el-ojo.mp3]
the ear,la oreja [sound:la-oreja.mp3]
the nose,la nariz [sound:la-nariz.mp3]
the mouth,la boca [sound:la-boca.mp3]
the tooth,el diente [sound:el-diente.mp3]
the tongue,la lengua [sound:la-lengua.mp3]
the neck,el cuello [sound:el-cuello.mp3]
the shoulder,el hombro [sound:el-hombro.mp3]
the arm,el brazo [sound:el-brazo.mp3]
the elbow,el codo [sound:el-codo.mp3]
the wrist,la muñeca [sound:la-muneca.mp3]
the hand,la mano [sound:la-mano.mp3]
the finger,el dedo [sound:el-dedo.mp3]
the thumb,el pulgar [sound:el-pulgar.mp3]
the chest,el pecho [sound:el-pecho.mp3]
the back,la espalda [sound:la-espalda.mp3]
the stomach,el estómago [sound:el-estomago.mp3]
the leg,la pierna [sound:la-pierna.mp3]
the thigh,el muslo [sound:el-muslo.mp3]
the knee,la rodilla [sound:la-rodilla.mp3]
the ankle,el tobillo [sound:el-tobillo.mp3]
the foot,el pie [sound:el-pie.mp3]
the toe,el dedo del pie [sound:el-dedo-del-pie.mp3]
the skin,la piel [sound:la-piel.mp3]
the bone,el hueso [sound:el-hueso.mp3]
the heart,el corazón [sound:el-corazon.mp3]
