Front,Back
<img src="el-cafe-card.jpg">,el café [sound:el-cafe.mp3]
<img src="el-tren-card.jpg">,el tren [sound:el-tren.mp3]
<img src="la-cerveza-card.jpg">,la cerveza [sound:la-cerveza.mp3]
<img src="el-agua-card.jpg">,el agua [sound:el-agua.mp3]
<img src="el-bano-card.jpg">,el baño [sound:el-bano.mp3]
<img src="la-mesa-card.jpg">,la mesa [sound:la-mesa.mp3]
<img src="el-parque-infantil-card.jpg">,el parque infantil [sound:el-parque-infantil.mp3]
<img src="color-blue-card.jpg">,azul [sound:azul.mp3]
<img src="color-yellow-card.jpg">,amarillo / amarilla [sound:amarillo-amarilla.mp3]
<img src="el-cuerpo-card.jpg">,el cuerpo [sound:el-cuerpo.mp3]
<img src="la-cabeza-card.jpg">,la cabeza [sound:la-cabeza.mp3]
<img src="el-pelo-card.jpg">,el pelo [sound:el-pelo.mp3]
<img src="la-cara-card.jpg">,la cara [sound:la-cara.mp3]
<img src="el-ojo-card.jpg">,el ojo [sound:el-ojo.mp3]
<img src="la-oreja-card.jpg">,la oreja [sound:la-oreja.mp3]
<img src="la-nariz-card.jpg">,la nariz [sound:la-nariz.mp3]
<img src="la-boca-card.jpg">,la boca [sound:la-boca.mp3]
<img src="el-diente-card.jpg">,el diente [sound:el-diente.mp3]
<img src="la-lengua-card.jpg">,la lengua [sound:la-lengua.mp3]
<img src="el-cuello-card.jpg">,el cuello [sound:el-cuello.mp3]
<img src="el-hombro-card.jpg">,el hombro [sound:el-hombro.mp3]
<img src="el-brazo-card.jpg">,el brazo [sound:el-brazo.mp3]
<img src="el-codo-card.jpg">,el codo [sound:el-codo.mp3]
<img src="la-muneca-card.jpg">,la muñeca [sound:la-muneca.mp3]
<img src="la-mano-card.jpg">,la mano [sound:la-mano.mp3]
<img src="el-dedo-card.jpg">,el dedo [sound:el-dedo.mp3]
<img src="el-pulgar-card.jpg">,el pulgar [sound:el-pulgar.mp3]
<img src="el-pecho-card.jpg">,el pecho [sound:el-pecho.mp3]
<img src="la-espalda-card.jpg">,la espalda [sound:la-espalda.mp3]
<img src="el-estomago-card.jpg">,el estómago [sound:el-estomago.mp3]
<img src="la-pierna-card.jpg">,la pierna [sound:la-pierna.mp3]
<img src="el-muslo-card.jpg">,el muslo [sound:el-muslo.mp3]
<img src="la-rodilla-card.jpg">,la rodilla [sound:la-rodilla.mp3]
<img src="el-tobillo-card.jpg">,el tobillo [sound:el-tobillo.mp3]
<img src="el-pie-card.jpg">,el pie [sound:el-pie.mp3]
<img src="el-dedo-del-pie-card.jpg">,el dedo del pie [sound:el-dedo-del-pie.mp3]
<img src="la-piel-card.jpg">,la piel [sound:la-piel.mp3]
<img src="el-hueso-card.jpg">,el hueso [sound:el-hueso.mp3]
<img src="el-corazon-card.jpg">,el corazón [sound:el-corazon.mp3]
