Front,Back
to be able to / can,"poder (puedo, puedes, puede, podemos, podéis, pueden) [sound:poder.mp3]"
to want,"querer (quiero, quieres, quiere, queremos, queréis, quieren) [sound:querer.mp3]"
to need,"necesitar (necesito, necesitas, necesita, necesitamos, necesitáis, necesitan) [sound:necesitar.mp3]"
to have,"tener (tengo, tienes, tiene, tenemos, tenéis, tienen) [sound:tener.mp3]"
to go,"ir (voy, vas, va, vamos, vais, van) [sound:ir.mp3]"
to do / make,"hacer (hago, haces, hace, hacemos, hacéis, hacen) [sound:hacer.mp3]"
to eat,"comer (como, comes, come, comemos, coméis, comen) [sound:comer.mp3]"
to drink,"beber (bebo, bebes, bebe, bebemos, bebéis, beben) [sound:beber.mp3]"
to speak,"hablar (hablo, hablas, habla, hablamos, habláis, hablan) [sound:hablar.mp3]"
to understand,"entender (entiendo, entiendes, entiende, entendemos, entendéis, entienden) [sound:entender.mp3]"
to try / to attempt,"intentar (intento, intentas, intenta, intentamos, intentáis, intentan) [sound:intentar.mp3]"
to pet / to stroke,"acariciar (acaricio, acaricias, acaricia, acariciamos, acariciáis, acarician) [sound:acariciar.mp3]"
