Front,Back
"to be able to / can","poder (puedo, puedes, puede, podemos, podéis, pueden)"
"poder (puedo, puedes, puede, podemos, podéis, pueden)","to be able to / can"
"to want","querer (quiero, quieres, quiere, queremos, queréis, quieren)"
"querer (quiero, quieres, quiere, queremos, queréis, quieren)","to want"
"to need","necesitar (necesito, necesitas, necesita, necesitamos, necesitáis, necesitan)"
"necesitar (necesito, necesitas, necesita, necesitamos, necesitáis, necesitan)","to need"
"to have","tener (tengo, tienes, tiene, tenemos, tenéis, tienen)"
"tener (tengo, tienes, tiene, tenemos, tenéis, tienen)","to have"
"to go","ir (voy, vas, va, vamos, vais, van)"
"ir (voy, vas, va, vamos, vais, van)","to go"
"to do / make","hacer (hago, haces, hace, hacemos, hacéis, hacen)"
"hacer (hago, haces, hace, hacemos, hacéis, hacen)","to do / make"
"to eat","comer (como, comes, come, comemos, coméis, comen)"
"comer (como, comes, come, comemos, coméis, comen)","to eat"
"to drink","beber (bebo, bebes, bebe, bebemos, bebéis, beben)"
"beber (bebo, bebes, bebe, bebemos, bebéis, beben)","to drink"
"to speak","hablar (hablo, hablas, habla, hablamos, habláis, hablan)"
"hablar (hablo, hablas, habla, hablamos, habláis, hablan)","to speak"
"to understand","entender (entiendo, entiendes, entiende, entendemos, entendéis, entienden)"
"entender (entiendo, entiendes, entiende, entendemos, entendéis, entienden)","to understand"
